Ohio University Airport-Snyder Field,Athens/Albany,United States,*ATO,ATO,39.2118928,-82.2292554,766,America/New_York,,airnav.com
Ross County Airport,Chillicothe,United States,*RZT,RZT,39.4404167,-83.0230556,725,America/New_York,,airnav.com
Zanesville Municipal Airport,Zanesville,United States,*ZZV,ZZV,39.9444444,-81.8920833,900,America/New_York,,airnav.com
Stillwater Regional Airport,Stillwater,United States,*SWO,SWO,36.1613889,-97.0858889,1000,America/Chicago,,airnav.com
Roseburg Regional Airport,Roseburg,United States,*RBG,RBG,43.2393389,-123.3558222,533.5,America/Los_Angeles,,airnav.com
Franklin County Regional Airport,Chambersburg,United States,*N68,N68,39.9729617,-77.6432563,688,America/New_York,,airnav.com
Port Meadville Airport,Meadville,United States,*GKJ,GKJ,41.6265278,-80.2147222,1399,America/New_York,,airnav.com
Pocono Mountains Municipal Airport,Mount Pocono,United States,*MPO,MPO,41.1376944,-75.3800556,1915,America/New_York,,airnav.com
University Park Airport,State College,United States,*UNV,UNV,40.8492778,-77.8486944,1231.2,America/New_York,,airnav.com
York Airport,York,United States,*THV,THV,39.917,-76.8730278,495,America/New_York,,airnav.com
Upper Cumberland Regional Airport,Sparta,United States,*SRB,SRB,36.0567386,-85.5301081,1025,America/New_York,,airnav.com
Mc Kellar-Sipes Regional Airport,Jackson,United States,*MKL,MKL,35.5998889,-88.9156111,434,America/New_York,,airnav.com
A L Mangham Jr. Regional Airport,Nacogdoches,United States,*OCH,OCH,31.5777639,-94.7101111,355,America/Chicago,,airnav.com
San Marcos Municipal Airport,San Marcos,United States,*HYI,HYI,29.89275,-97.863,594.7,America/Chicago,,airnav.com
Alpine-Casparis Municipal Airport,Alpine,United States,*ALE,ALE,30.3842222,-103.6835833,4514,America/Chicago,,airnav.com
North Texas Regional Airport/Perrin Field,Sherman/Denison,United States,*GYI,GYI,33.7141111,-96.6736667,749,America/Chicago,,airnav.com
Victoria Regional Airport,Victoria,United States,*VCT,VCT,28.8525458,-96.9184887,115,America/Chicago,,airnav.com
Ogden-Hinckley Airport,Ogden,United States,*OGD,OGD,41.1956658,-112.0129368,4473,America/Denver,,airnav.com
Danville Regional Airport,Danville,United States,*DAN,DAN,36.5724752,-79.3362383,571.3,America/New_York,,airnav.com
Shannon Airport,Fredericksburg,United States,*EZF,EZF,38.2662222,-77.4493889,85,America/New_York,,airnav.com
Virginia Tech/Montgomery Executive Airport,Blacksburg,United States,*BCB,BCB,37.2076389,-80.4078333,2132,America/New_York,,airnav.com
Mountain Empire Airport,Marion/Wytheville,United States,*MKJ,MKJ,36.8948611,-81.3499444,2558,America/New_York,,airnav.com
Winchester Regional Airport,Winchester,United States,*OKV,OKV,39.1435278,-78.1444444,726,America/New_York,,airnav.com
Grant County International Airport,Moses Lake,United States,*MWH,MWH,47.2085833,-119.3191389,1189,America/Los_Angeles,,airnav.com
Skagit Regional Airport,Burlington/Mount Vernon,United States,*BVS,BVS,48.4705278,-122.4216944,145.1,America/Los_Angeles,,airnav.com
Fort McMurray Airport,Fort McMurray,Canada,*YMM,YMM,56.65333,-111.22333,1211,America/Edmonton,,travelmath.com
Peace River Airport,Peace River,Canada,*YPE,YPE,56.22777777,-117.4402778,1873,America/Edmonton,,travelmath.com
Red Deer Regional AirportÊ,,Canada,*YQF,YQF,52.18222,-113.89444,2969,America/Edmonton,,travelmath.com
Collingwood Airport,Collingwood,Canada,*QEB,QEB,44.45111111,-80.16555555,732,America/Toronto,,travelmath.com
Owen Sound Billy Bishop Regional Airport,Owen Sound,Canada,*YOS,YOS,44.59055556,-80.83833333,1007,America/Toronto,,travelmath.com
Atarot Jerusalem Ramallah Airport,Jerusalem,Israel,*JRS,JRS,31.86749999,35.21444444,2484,Asia/Jerusalem,,travelmath.com
